type,purpose,title,length,artist,month,year,descend_to_floor,ascend_to_stand
Silence,Break,Silent Track,1:02,Mike Vargas,,,,
Cardio,H,She Knows How to Love Me (feat. Jess Glynne & Stefflon Don),3:02,David Guetta,March,2024,,
Cardio,H,buttons!,3:59,Knock2 & Dillon Francis,November,2023,,
Cardio,H,As it Was,2:47,Harry Styles,July,2022,,
Cardio,H,Summertime Friends,2:17,The Chainsmokers,November,2023,,
Cardio,H,Runaway,2:23,Onerepublic,August,2023,,
Cardio,H,Long Live Party Rock,2:28,Dainjazone & Redfoo,July,2023,,
Cardio,H,Weapons,2:32,Ava Max,April,2023,,
Cardio,H,Real Good Feeling,3:14,Oh the Larceny,May,2022,,
Cardio,H,Stars Don't Shine (feat. Global Dan),3:42,Steve Aoki,March,2022,,
Cardio,H,Can't Hold Us,4:18,Macklemore & Ryan Lewis,R3,2013,,
Cardio,H,Bad Guy,3:14,Billlie Elish,R3,2019,,
Cardio,H,Work For It (Ft. Lonis),2:43,Daphne Willis & Lonis,May,2024,,
Cardio,H,Bellissima,3:21,Annalisa,May,2024,,
Cardio,LM,Been Thinking,3:07,Tyla,April,2023,,
Cardio,LM,Houdini,3:06,Dua Lipa,February,2024,,
Cardio,LM,Everything,3:04,Switch Disco,March,2023,,
Cardio,LM,THE GIRLS - BLACKPINK THE GAME OST,2:42,Blackpink,December,2023,,
Cardio,LM,Why Do I?,2:54,"Vavo, Nicopop, & Zohara",September,2022,,
Cardio,LM,Training Season,3:29,Dua Lipa,April,2024,,
Cardio,LM,I Don't Care,3:40,Ed Sheeran & Justin Bieber,R3,2019,,
Cardio,LM (BCO),Girls Like You (feat. Cardi B),3:56,Maroon 5,R4,2018,,
Cardio,LM (BCO),Dance the Night,2:56,Dua Lipa,August,2023,,
Cardio,LM (BCO),Drama Queen,3:09,Meghan Trainor,March,2023,,
Cardio,M,16 Again,3:15,"Paul Woolford, Lewis Thompson & Mnek",July,2023,,
Cardio,M,BANG BANG! (My Neurodivergent Anthem),2:47,Galantis,October,2023,,
Cardio,M,Do Si Do,2:38,Flo Rida,September,2023,,
Cardio,M,Can't Stop Us Now,3:22,Pitbull & Zach Brown,July,2022,,
Cardio,M,Tell it to My Heart,2:55,Cash Cash & Taylor Dayne,February,2024,,
Cardio,M,Oh Mama Hey,3:30,Chirs Cox & EDG Frankie feat. Crystal Waters,R2,2013,,
Cardio,M,Rainfall (Praise You),2:47,Tom Santa,February,2023,,
Cardio,M,Crazy What Love Can Do,2:50,"David Guetta, Becky Hill, & Ella Henderson",July,2022,,
Cardio,M,Dance Forever,3:33,Todrick Hall,July,2022,,
Cardio,M,Million Dollar Baby,3:04,Ava Max,February,2023,,
Cardio,M,Work With My Love,2:30,Alok & James Arthur,May,2023,,
Strength,MA,Paint the Town Red,3:52,Doja Cat,November,2023,TRUE,
Strength,MA,Summer Baby,2:42,Jonas Brothers,September,2023,TRUE,TRUE
Strength,MA,Waffle House,2:25,Jonas Brothers,July,2023,TRUE,
Strength,MA,Fria,2:57,Enrique Iglesias & Yotuel,May,2024,,
Strength,MA,Bam Bam (Ft. Ed Sheehan),3:26,Camila Cabello,April,2022,,
Strength,MG,Where You Want,2:19,"Riton, David Guetta & Jozzy",October,2023,,
Strength,MG,Lose You,3:10,Sam Smith,April,2023,TRUE,
Strength,MG,How I Want Ya - Dawin Remix,3:16,Hudson Thames,March,2024,,
Strength,MG,It Takes 3,1:56,Pitbull & Vikina,February,2024,,
Strength,MG,Powerful Women,2:46,Pitbull & Dolly Parton,April,2024,TRUE,TRUE
Strength,MG,Cruel Summer,2:58,Taylor Swift,September,2023,,
Strength,MG,No Love For You,2:58,Regard & Drop-G,May,2023,,
Strength,MG,Shivers,3:28,Ed Sheehan,October,2021,,
Cardio,MH,One in a Million,2:41,Bebe Rexha & David Guetta,September,2023,,
Cardio,MH,Joy,3:13,Andy Grammer,October,2023,,
Cardio,MH,Desire (with Sam Smith),2:59,Calvin Harris & Sam Smith,September,2023,,
Cardio,MH,Spicy Margarita,2:34,Jason Derulo & Michael Buble,April,2023,,
Cardio,MH,Star Walkin' (League of Legends Worlds Anthem),3:31,Lil Nas X,February,2023,,
Cardio,MH,Rely on Me,2:55,"Sigala, Gabry Ponte, & Ales Gaudino",May,2024,,
Cardio,MH,50 Ways to Say Goodbye,4:10,Train,R4,2012,,
Strength,MU,Buckle Bunny,3:12,Tanner Adell,October,2023,TRUE,TRUE
Strength,MU,Dynamite,2:56,"Jackson Breit, Carneyval, & Alex Ghenea",March,2024,TRUE,TRUE
Strength,MU,Doctor (Work it Out),3:02,Pharrell Williams & Miley Cyrus,April,2024,TRUE,TRUE
Strength,MU,Whistle,3:02,Jax Jones & Callum Scott,April,2023,TRUE,
Strength,MU,Yes or No,2:28,Jung Kook,May,2024,,
An Intro,OI,Alone - Extended,4:01,Kim Petras and Nicki Minaj,July,2023,,
An Intro,OI,Generous - Marc Stout Remix,4:27,Olivia Holt,March,2024,,
An Intro,OI,I Get By (Feat Amber Mark & Vory),4:27,DJDS,August,2023,,
An Intro,OI,Sweet Lovin' (Steve Smart Remix),4:22,Sigala & Bryn Christopher,May,2024,,
Strength,OPT,Better Place (From TROLLS Band Together),3:37,NSYNC & Justin Timberlake,November,2023,TRUE,
Strength,OPT,Hands on Me (feat. Meghan Trainor),3:03,Jason Derulo,April,2024,TRUE,TRUE
Strength,OPT,One Too Many,3:24,Keith Urban & P!nk,R5,2020,TRUE,TRUE
Strength,OPT,Ain't Your Mama,3:38,Jennifer Lopez,R3,2016,,
Strength,OPT,Wish You The Best,3:31,Lewis Capaldi,July,2023,TRUE,
Stength,SAE,We Happy,2:31,American Authors,August,2023,,TRUE
Strength,SAE,Mona Lisa,3:06,Dominic Fike,November,2023,TRUE,TRUE
Strength,SAE,Boyfriends,3:15,Harry Styles,August,2022,,TRUE
Strength,SAE,Trustfall,3:57,P!nk,April,2023,,TRUE
Strength,SAE,Superbloom,3:34,Misterwives,May,2023,,
Cardio,H,Teeth,3:25,5 Seconds of Summer,R5,2019,,
Cardio,MH,Ferrari (Remix),2:52,"James Hype, Miggy Dela Rosa, Lazza",November,2023,,
